"experience_level";"employment_type";"job_title";"salary_in_usd";"employee_residence";"remote_ratio";"company_location";"company_size"
"EN";"FT";"Data Engineer";120000;"US";100;"US";"M"
"SE";"FT";"Research Scientist";144000;"US";50;"US";"L"
"SE";"FT";"Data Scientist";104890;"US";100;"US";"M"
"SE";"FT";"Data Engineer";100000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";140000;"US";100;"US";"M"
"MI";"FT";"Data Analyst";135000;"US";100;"US";"M"
"MI";"FT";"Data Analyst";50000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";220000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";140000;"US";100;"US";"M"
"MI";"FT";"Data Scientist";183228;"GB";0;"GB";"M"
"MI";"FT";"Data Scientist";91614;"GB";0;"GB";"M"
"SE";"FT";"Data Scientist";185100;"US";100;"US";"M"
"SE";"FT";"ML Engineer";220000;"US";100;"US";"M"
"MI";"FT";"Data Scientist";200000;"US";100;"US";"M"
"MI";"FT";"Data Scientist";120000;"US";100;"US";"M"
"SE";"FT";"ML Engineer";120000;"AE";100;"AE";"S"
"SE";"FT";"ML Engineer";65000;"AE";100;"AE";"S"
"SE";"FT";"Data Engineer";210000;"US";100;"US";"M"
"SE";"FT";"ML Engineer";120000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";230000;"US";100;"US";"M"
"SE";"FT";"Head of Data";200000;"MY";100;"US";"M"
"MI";"FT";"Principal Data Analyst";75000;"CA";100;"CA";"S"
"MI";"FT";"Data Scientist";35590;"PL";100;"PL";"L"
"SE";"FT";"ML Developer";78791;"CA";100;"CA";"M"
"SE";"FT";"Data Scientist";100000;"BR";100;"US";"M"
"MI";"FT";"ML Scientist";153000;"US";50;"US";"M"
"EN";"FT";"Data Engineer";58035;"PK";100;"DE";"M"
"SE";"FT";"Data Scientist";165000;"US";100;"US";"M"
"SE";"FT";"Research Scientist";93427;"FR";50;"FR";"L"
"EN";"FT";"Data Scientist";52396;"CA";100;"CA";"L"
"SE";"FT";"ML Engineer";62651;"NL";100;"NL";"L"
"MI";"FT";"Head of Data";32974;"EE";100;"EE";"S"
"EN";"FT";"Data Scientist";40000;"JP";100;"MY";"L"
"MI";"FT";"ML Engineer";87425;"AU";100;"AU";"L"
"SE";"FT";"Data Engineer";115000;"US";100;"US";"M"
"EN";"FT";"Data Scientist";86703;"AU";50;"AU";"M"
"MI";"FT";"Applied ML Scientist";75000;"BO";100;"US";"L"
"MI";"FT";"Research Scientist";64849;"AT";0;"AT";"L"
"EN";"FT";"Research Scientist";120000;"US";100;"US";"L"
"MI";"FT";"Applied Data Scientist";157000;"US";100;"US";"L"
"EN";"FT";"Computer Vision Software Engineer";150000;"AU";100;"AU";"S"
"MI";"FT";"Business Data Analyst";70912;"CA";50;"CA";"L"
"EN";"FT";"Data Engineer";65000;"US";100;"US";"S"
"SE";"FT";"ML Engineer";71444;"IE";100;"IE";"S"
"EN";"FT";"Data Analytics Engineer";20000;"PK";0;"PK";"M"
"MI";"FT";"Data Scientist";48000;"RU";100;"US";"S"
"SE";"FT";"Data Science Manager";152500;"US";100;"US";"M"
"MI";"FT";"Data Engineer";68147;"FR";100;"FR";"M"
"MI";"FT";"Data Scientist";122346;"CH";0;"CH";"L"
"SE";"FT";"Applied Data Scientist";380000;"US";100;"US";"L"
"MI";"FT";"Data Scientist";69336;"CA";100;"CA";"M"
"EN";"FT";"Computer Vision Engineer";10000;"PT";100;"LU";"M"
"MI";"FT";"Data Analyst";20000;"GR";100;"GR";"S"
"SE";"FT";"Data Analytics Lead";405000;"US";100;"US";"L"
"MI";"FT";"Data Scientist";135000;"US";100;"US";"L"
"SE";"FT";"Applied Data Scientist";177000;"US";100;"US";"L"
"MI";"FT";"Data Scientist";78000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";135000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";100000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";90320;"US";100;"US";"M"
"MI";"FT";"Data Analyst";85000;"CA";0;"CA";"M"
"MI";"FT";"Data Analyst";75000;"CA";0;"CA";"M"
"SE";"FT";"ML Engineer";214000;"US";100;"US";"M"
"SE";"FT";"ML Engineer";192600;"US";100;"US";"M"
"SE";"FT";"Data Architect";266400;"US";100;"US";"M"
"SE";"FT";"Data Architect";213120;"US";100;"US";"M"
"SE";"FT";"Data Analyst";112900;"US";100;"US";"M"
"SE";"FT";"Data Engineer";155000;"US";100;"US";"M"
"MI";"FT";"Data Scientist";141300;"US";0;"US";"M"
"MI";"FT";"Data Scientist";102100;"US";0;"US";"M"
"SE";"FT";"Data Analyst";115934;"US";100;"US";"M"
"SE";"FT";"Data Analyst";81666;"US";100;"US";"M"
"MI";"FT";"Data Engineer";206699;"US";0;"US";"M"
"MI";"FT";"Data Engineer";99100;"US";0;"US";"M"
"SE";"FT";"Data Engineer";130000;"US";100;"US";"M"
"SE";"FT";"Data Engineer";115000;"US";100;"US";"M"
"SE";"FT";"Data Engineer";110500;"US";100;"US";"M"
"SE";"FT";"Data Engineer";130000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";99050;"US";100;"US";"M"
"SE";"FT";"Data Engineer";160000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";205300;"US";0;"US";"L"
"SE";"FT";"Data Scientist";140400;"US";0;"US";"L"
"SE";"FT";"Data Scientist";176000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";144000;"US";100;"US";"M"
"SE";"FT";"Data Engineer";200100;"US";100;"US";"M"
"SE";"FT";"Data Engineer";160000;"US";100;"US";"M"
"SE";"FT";"Data Engineer";145000;"US";100;"US";"M"
"SE";"FT";"Data Engineer";70500;"US";0;"US";"M"
"SE";"FT";"Data Scientist";205300;"US";0;"US";"M"
"SE";"FT";"Data Scientist";140400;"US";0;"US";"M"
"SE";"FT";"Analytics Engineer";205300;"US";0;"US";"M"
"SE";"FT";"Analytics Engineer";184700;"US";0;"US";"M"
"SE";"FT";"Data Engineer";175100;"US";100;"US";"M"
"SE";"FT";"Data Engineer";140250;"US";100;"US";"M"
"SE";"FT";"Data Analyst";116150;"US";100;"US";"M"
"SE";"FT";"Data Engineer";54000;"US";0;"US";"M"
"SE";"FT";"Data Analyst";170000;"US";100;"US";"M"
"MI";"FT";"Data Analyst";65438;"GB";0;"GB";"M"
"SE";"FT";"Data Analyst";80000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";140000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";210000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";140000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";100000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";69000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";210000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";140000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";210000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";150075;"US";100;"US";"M"
"SE";"FT";"Data Engineer";100000;"US";100;"US";"M"
"SE";"FT";"Data Engineer";25000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";126500;"US";100;"US";"M"
"SE";"FT";"Data Analyst";106260;"US";100;"US";"M"
"SE";"FT";"Data Engineer";220110;"US";100;"US";"M"
"SE";"FT";"Data Engineer";160080;"US";100;"US";"M"
"SE";"FT";"Data Analyst";105000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";110925;"US";100;"US";"M"
"MI";"FT";"Data Analyst";45807;"GB";0;"GB";"M"
"SE";"FT";"Data Scientist";140000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";99000;"US";0;"US";"M"
"SE";"FT";"Data Analyst";60000;"US";100;"US";"M"
"SE";"FT";"Data Architect";192564;"US";100;"US";"M"
"SE";"FT";"Data Architect";144854;"US";100;"US";"M"
"SE";"FT";"Data Scientist";230000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";150000;"US";100;"US";"M"
"SE";"FT";"Data Analytics Manager";150260;"US";100;"US";"M"
"SE";"FT";"Data Analytics Manager";109280;"US";100;"US";"M"
"SE";"FT";"Data Scientist";210000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";170000;"US";100;"US";"M"
"MI";"FT";"Data Scientist";160000;"US";100;"US";"M"
"MI";"FT";"Data Scientist";130000;"US";100;"US";"M"
"EN";"FT";"Data Analyst";67000;"CA";0;"CA";"M"
"EN";"FT";"Data Analyst";52000;"CA";0;"CA";"M"
"SE";"FT";"Data Engineer";154000;"US";100;"US";"M"
"SE";"FT";"Data Engineer";126000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";129000;"US";0;"US";"M"
"SE";"FT";"Data Analyst";150000;"US";100;"US";"M"
"MI";"FT";"AI Scientist";200000;"IN";100;"US";"L"
